DBN,Category,#Grade K,#Grade 1,#Grade 2,#Grade 3,#Grade 4,#Grade 5
01M015,All Students,32,33,39,23,17,18
01M015,Attend school outside district of residence,7,7,11,7,s,s
01M015,English Language Learners,s,s,s,s,s,s
01M015,Poverty,32,33,39,23,17,18
01M015,Reside in temporary housing,12,14,17,10,s,s
01M015,Students with Disabilities,7,14,9,11,9,7
01M019,All Students,47,43,41,43,35,40
01M019,Attend school outside district of residence,21,13,23,26,21,20
01M019,English Language Learners,s,s,s,s,No Data,s
01M019,Poverty,40,34,33,33,27,31
01M019,Reside in temporary housing,9,6,6,s,s,6
01M019,Students with Disabilities,15,14,12,11,11,16
01M020,All Students,82,90,98,92,81,92
01M020,Attend school outside district of residence,24,22,34,30,30,37
01M378,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
01M020,English Language Learners,20,28,17,s,s,13
01M020,Poverty,82,90,98,92,81,92
01M020,Reside in temporary housing,s,7,19,16,s,10
01M020,Students with Disabilities,17,17,22,22,14,26
01M034,All Students,33,41,30,27,36,33
01M034,Attend school outside district of residence,6,s,s,6,s,7
01M034,English Language Learners,s,s,s,s,s,s
01M034,Poverty,33,40,30,26,35,32
01M034,Reside in temporary housing,10,12,s,6,8,s
01M034,Students with Disabilities,s,s,15,9,13,10
01M063,All Students,47,42,35,28,19,17
01M110,English Language Learners,No Data,s,s,s,No Data,s
01M063,Attend school outside district of residence,18,13,14,12,s,s
01M063,English Language Learners,No Data,s,s,No Data,s,s
01M063,Poverty,41,36,29,18,18,17
01M063,Reside in temporary housing,12,11,6,s,s,s
01M063,Students with Disabilities,9,11,13,10,9,10
01M064,All Students,36,39,37,35,43,48
01M064,Attend school outside district of residence,10,7,14,9,11,15
01M064,English Language Learners,s,s,s,s,s,s
01M064,Poverty,34,36,36,32,38,44
01M064,Reside in temporary housing,s,11,13,9,11,s
01M064,Students with Disabilities,9,12,9,14,17,19
01M110,All Students,47,50,60,88,54,66
01M110,Attend school outside district of residence,s,s,12,23,9,17
01M110,Poverty,24,23,29,55,24,38
01M110,Reside in temporary housing,s,s,10,8,s,9
01M110,Students with Disabilities,s,10,s,10,8,17
01M140,Attend school outside district of residence,7,9,10,6,9,12
01M134,All Students,39,33,47,40,51,38
01M134,Attend school outside district of residence,8,9,13,13,14,8
01M134,English Language Learners,s,6,6,s,8,s
01M134,Poverty,35,32,43,37,47,31
01M134,Reside in temporary housing,10,s,8,11,9,s
01M134,Students with Disabilities,6,8,22,13,21,12
01M137,All Students,23,17,19,20,31,35
01M137,Attend school outside district of residence,6,s,s,s,8,11
01M137,English Language Learners,s,No Data,No Data,s,s,s
02M001,Reside in temporary housing,s,s,s,s,s,6
01M137,Poverty,23,15,19,19,30,34
01M137,Reside in temporary housing,s,s,s,s,s,s
01M137,Students with Disabilities,6,7,9,11,14,15
01M140,All Students,26,25,29,30,34,29
01M140,English Language Learners,No Data,9,s,s,9,s
01M140,Poverty,26,25,29,30,34,29
01M140,Reside in temporary housing,7,s,9,6,s,8
01M140,Students with Disabilities,s,s,11,9,13,18
01M142,All Students,56,56,52,42,67,59
01M142,Attend school outside district of residence,12,18,22,9,18,21
01M142,English Language Learners,s,10,7,s,s,s
01M142,Poverty,53,55,52,40,65,56
01M142,Reside in temporary housing,17,20,17,9,12,6
01M142,Students with Disabilities,13,25,20,14,18,23
01M184,All Students,63,73,77,61,63,77
01M184,Attend school outside district of residence,s,s,13,19,18,37
01M184,English Language Learners,21,36,12,11,12,11
01M184,Poverty,37,54,47,43,50,52
01M184,Reside in temporary housing,s,s,s,s,s,s
01M184,Students with Disabilities,19,13,9,s,11,11
01M188,All Students,47,48,50,43,43,54
01M188,Attend school outside district of residence,14,11,14,8,16,10
01M188,English Language Learners,7,12,6,11,s,s
01M188,Poverty,47,48,50,43,43,54
19K404,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
01M188,Reside in temporary housing,27,23,20,23,15,28
01M188,Students with Disabilities,9,14,15,10,17,17
01M292,All Students,No Data,No Data,No Data,No Data,No Data,No Data
01M292,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
01M292,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
01M292,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
01M292,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
01M292,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
01M301,All Students,No Data,No Data,No Data,No Data,No Data,No Data
01M301,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
01M301,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
01M301,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
01M301,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M051,Attend school outside district of residence,No Data,No Data,s,No Data,s,6
01M301,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
01M315,All Students,49,50,47,45,45,27
01M315,Attend school outside district of residence,10,13,12,12,13,13
01M315,English Language Learners,No Data,No Data,No Data,s,No Data,s
01M315,Poverty,11,s,10,13,14,s
01M315,Reside in temporary housing,s,No Data,s,s,s,No Data
01M315,Students with Disabilities,6,7,11,11,12,9
01M332,All Students,No Data,No Data,No Data,No Data,No Data,No Data
01M332,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
01M332,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
01M332,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
01M332,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
01M332,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
01M345,All Students,No Data,No Data,No Data,No Data,No Data,No Data
01M345,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
01M345,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
01M345,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
01M345,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
01M345,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
01M361,All Students,47,46,39,33,26,43
01M361,Attend school outside district of residence,16,12,13,18,9,19
01M361,English Language Learners,s,s,s,s,s,s
01M361,Poverty,26,23,17,17,14,13
01M361,Reside in temporary housing,s,s,s,s,s,s
01M361,Students with Disabilities,s,11,10,9,s,16
01M363,All Students,58,62,38,44,39,56
01M363,Attend school outside district of residence,18,20,14,14,14,23
01M363,English Language Learners,No Data,7,s,No Data,s,s
01M363,Poverty,21,19,16,20,18,22
01M363,Reside in temporary housing,s,s,s,s,s,s
01M363,Students with Disabilities,10,13,8,7,10,20
01M364,All Students,50,53,48,49,48,56
01M364,Attend school outside district of residence,9,16,12,18,18,23
01M364,English Language Learners,s,7,s,6,No Data,s
01M364,Poverty,29,30,22,22,18,22
01M364,Reside in temporary housing,14,7,s,s,s,s
01M364,Students with Disabilities,11,8,10,17,14,18
01M378,All Students,No Data,No Data,No Data,No Data,No Data,No Data
01M378,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
01M378,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
01M378,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
01M378,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
01M450,All Students,No Data,No Data,No Data,No Data,No Data,No Data
01M450,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
01M450,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
01M450,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
01M450,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
01M539,All Students,123,111,113,115,117,116
01M539,Attend school outside district of residence,117,105,103,111,112,102
01M539,English Language Learners,s,s,No Data,No Data,No Data,No Data
01M539,Poverty,17,16,15,13,14,15
01M539,Reside in temporary housing,s,No Data,No Data,No Data,No Data,No Data
01M539,Students with Disabilities,s,s,6,s,s,s
01M839,All Students,No Data,No Data,No Data,No Data,No Data,No Data
01M839,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
01M839,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
01M839,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
01M839,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
01M839,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M001,All Students,48,58,60,61,70,75
02M001,Attend school outside district of residence,11,9,9,13,12,19
02M001,English Language Learners,19,19,25,12,13,12
02M001,Poverty,48,58,60,61,70,75
02M001,Students with Disabilities,17,10,10,15,18,19
02M002,All Students,86,84,107,139,117,118
02M002,Attend school outside district of residence,s,s,7,14,11,27
02M002,English Language Learners,51,52,46,32,40,20
02M002,Poverty,79,83,104,135,115,112
02M002,Reside in temporary housing,20,22,26,34,47,40
02M002,Students with Disabilities,19,19,14,29,21,22
02M003,All Students,129,108,126,118,156,99
02M003,Attend school outside district of residence,10,10,11,10,17,10
02M003,English Language Learners,6,8,10,s,s,No Data
02M003,Poverty,20,22,26,21,19,20
02M003,Reside in temporary housing,No Data,s,s,s,s,No Data
02M003,Students with Disabilities,18,18,32,20,27,22
02M006,All Students,105,113,120,124,124,114
02M006,Attend school outside district of residence,s,s,s,s,s,6
02M006,English Language Learners,6,No Data,s,s,s,No Data
02M006,Poverty,s,s,10,9,11,7
02M006,Reside in temporary housing,s,s,s,s,No Data,No Data
02M006,Students with Disabilities,8,16,27,20,24,25
02M011,All Students,146,133,161,186,148,129
02M011,Attend school outside district of residence,s,No Data,s,8,6,s
02M011,English Language Learners,s,7,s,7,s,s
02M011,Poverty,40,33,39,51,45,41
02M011,Reside in temporary housing,s,s,s,s,s,s
02M011,Students with Disabilities,18,18,20,27,18,20
02M033,All Students,90,107,111,94,103,104
02M033,Attend school outside district of residence,s,s,s,s,14,16
02M033,English Language Learners,9,s,6,s,s,s
02M033,Poverty,38,44,54,39,50,54
02M033,Reside in temporary housing,7,s,11,6,7,s
02M033,Students with Disabilities,12,13,15,12,8,11
02M040,All Students,99,100,108,97,95,96
02M040,Attend school outside district of residence,No Data,No Data,No Data,s,s,s
02M040,English Language Learners,s,6,s,s,s,No Data
02M040,Poverty,s,8,s,8,10,10
02M040,Reside in temporary housing,s,s,No Data,No Data,No Data,s
02M040,Students with Disabilities,14,17,20,14,20,16
02M051,English Language Learners,11,s,6,s,10,s
02M041,All Students,121,91,131,115,118,109
02M041,Attend school outside district of residence,s,No Data,s,s,s,s
02M041,English Language Learners,6,s,s,No Data,No Data,s
02M041,Poverty,8,s,s,s,s,8
02M041,Students with Disabilities,15,10,17,23,26,18
02M042,All Students,102,99,94,132,132,132
02M059,Reside in temporary housing,s,No Data,No Data,s,s,s
02M042,Attend school outside district of residence,13,15,12,23,30,25
02M042,English Language Learners,49,52,27,24,22,28
02M042,Poverty,102,99,94,132,132,132
02M042,Reside in temporary housing,15,9,11,s,9,s
02M042,Students with Disabilities,20,16,15,15,18,24
02M051,All Students,52,48,62,47,59,54
02M051,Poverty,52,48,62,47,59,54
02M051,Reside in temporary housing,11,7,7,11,7,9
02M051,Students with Disabilities,6,9,14,10,17,22
02M059,All Students,102,102,76,101,95,97
02M059,Attend school outside district of residence,s,No Data,s,6,No Data,s
02M059,English Language Learners,s,7,s,s,s,s
02M059,Poverty,9,6,8,15,10,17
11X272,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M059,Students with Disabilities,13,18,15,15,20,15
02M077,All Students,49,61,60,62,60,53
02M077,Attend school outside district of residence,s,No Data,No Data,s,s,s
02M077,Poverty,No Data,s,s,s,s,s
02M077,Students with Disabilities,s,s,7,6,8,7
02M089,All Students,70,69,86,52,62,50
02M089,Attend school outside district of residence,No Data,s,s,s,s,s
02M089,English Language Learners,s,7,s,s,No Data,s
02M089,Poverty,s,s,s,s,s,s
02M089,Students with Disabilities,7,10,11,6,11,14
02M104,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M104,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M104,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M104,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M151,English Language Learners,6,12,s,s,s,s
02M104,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M104,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M111,All Students,59,51,43,48,52,51
26Q266,English Language Learners,s,7,s,s,s,s
02M111,Attend school outside district of residence,16,12,13,12,s,s
02M111,English Language Learners,10,13,s,s,6,s
02M111,Poverty,59,51,43,48,52,51
02M111,Reside in temporary housing,8,s,9,6,s,s
02M111,Students with Disabilities,s,s,15,16,22,19
02M114,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M114,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M114,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M114,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M267,Poverty,7,s,7,s,s,No Data
02M114,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M116,All Students,72,92,89,101,113,124
02M116,Attend school outside district of residence,No Data,s,s,s,No Data,s
02M116,English Language Learners,s,15,11,16,18,s
02M116,Poverty,19,29,36,42,40,42
02M116,Reside in temporary housing,s,12,11,7,s,8
02M116,Students with Disabilities,10,10,19,12,22,20
02M124,All Students,117,118,99,131,141,133
02M124,Attend school outside district of residence,17,12,22,33,40,43
02M124,English Language Learners,62,56,40,33,32,15
02M124,Poverty,117,118,99,131,141,133
02M124,Reside in temporary housing,s,6,s,s,s,s
02M124,Students with Disabilities,12,10,10,12,10,14
06M152,English Language Learners,25,35,38,40,26,22
02M126,All Students,58,73,70,76,57,55
02M126,Attend school outside district of residence,s,10,s,10,8,10
02M126,English Language Learners,25,35,19,18,11,12
02M126,Poverty,55,68,67,68,52,49
02M126,Reside in temporary housing,21,28,20,24,17,12
02M126,Students with Disabilities,9,12,14,9,13,12
02M130,All Students,118,162,178,170,184,140
02M130,Attend school outside district of residence,6,25,27,54,48,45
02M130,English Language Learners,29,42,19,16,12,8
02M130,Poverty,118,162,178,170,184,140
02M130,Reside in temporary housing,7,s,s,s,s,No Data
02M130,Students with Disabilities,15,25,19,19,27,14
02M289,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M131,All Students,No Data,No Data,No Data,No Data,No Data,No Data
02M225,Reside in temporary housing,No Data,s,s,s,s,s
02M131,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
02M131,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
02M131,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
02M131,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
02M131,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
02M150,All Students,28,25,27,29,29,28
02M150,Attend school outside district of residence,No Data,s,s,7,s,s
02M150,English Language Learners,No Data,s,No Data,No Data,s,No Data
02M150,Poverty,s,s,s,s,7,s
02M150,Students with Disabilities,s,s,s,s,s,s
02M151,All Students,74,91,95,90,117,81
02M151,Attend school outside district of residence,No Data,s,s,6,12,7
