DBN,Category,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic
01M015,All Students,9,0.05555555555555555,50,0.30864197530864196,98,0.6049382716049383
01M015,Attend school outside district of residence,s,s,11,0.2972972972972973,22,0.5945945945945946
01M015,English Language Learners,s,s,s,s,12,0.75
01M015,Poverty,9,0.05555555555555555,50,0.30864197530864196,98,0.6049382716049383
01M015,Reside in temporary housing,s,s,15,0.23076923076923078,47,0.7230769230769231
01M015,Students with Disabilities,s,s,21,0.3684210526315789,35,0.6140350877192983
01M019,All Students,26,0.10441767068273092,48,0.1927710843373494,156,0.6265060240963856
01M019,Attend school outside district of residence,s,s,28,0.22580645161290322,77,0.6209677419354839
01M019,English Language Learners,s,s,s,s,8,0.6153846153846154
01M019,Poverty,22,0.1111111111111111,42,0.21212121212121213,126,0.6363636363636364
01M019,Reside in temporary housing,s,s,s,s,30,0.8108108108108109
01M019,Students with Disabilities,s,s,12,0.1518987341772152,54,0.6835443037974683
01M020,All Students,192,0.35887850467289717,45,0.08411214953271028,261,0.48785046728971965
01M020,Attend school outside district of residence,62,0.3502824858757062,12,0.06779661016949153,92,0.519774011299435
01M378,English Language Learners,8,0.4,s,s,10,0.5
01M020,English Language Learners,64,0.7272727272727273,s,s,22,0.25
01M020,Poverty,192,0.35887850467289717,45,0.08411214953271028,261,0.48785046728971965
01M020,Reside in temporary housing,17,0.27419354838709675,7,0.11290322580645161,36,0.5806451612903226
01M020,Students with Disabilities,25,0.211864406779661,13,0.11016949152542373,75,0.635593220338983
01M034,All Students,16,0.0425531914893617,105,0.27925531914893614,242,0.6436170212765957
01M034,Attend school outside district of residence,s,s,21,0.27631578947368424,51,0.6710526315789473
01M034,English Language Learners,s,s,s,s,24,0.8275862068965517
01M034,Poverty,13,0.03551912568306011,103,0.2814207650273224,237,0.6475409836065574
01M034,Reside in temporary housing,s,s,20,0.25316455696202533,57,0.7215189873417721
01M034,Students with Disabilities,s,s,41,0.36283185840707965,70,0.6194690265486725
01M063,All Students,s,s,36,0.19148936170212766,121,0.6436170212765957
01M110,English Language Learners,s,s,s,s,s,s
01M063,Attend school outside district of residence,s,s,12,0.17142857142857143,48,0.6857142857142857
01M063,English Language Learners,s,s,s,s,s,s
01M063,Poverty,s,s,32,0.20125786163522014,106,0.6666666666666666
01M063,Reside in temporary housing,s,s,s,s,31,0.7560975609756098
01M063,Students with Disabilities,s,s,11,0.1774193548387097,46,0.7419354838709677
01M064,All Students,s,s,45,0.18907563025210083,157,0.6596638655462185
01M064,Attend school outside district of residence,s,s,14,0.21212121212121213,40,0.6060606060606061
01M064,English Language Learners,s,s,s,s,10,0.6666666666666666
01M064,Poverty,s,s,42,0.19090909090909092,144,0.6545454545454545
01M064,Reside in temporary housing,s,s,9,0.16666666666666666,35,0.6481481481481481
01M064,Students with Disabilities,s,s,12,0.15,63,0.7875
01M110,All Students,58,0.1589041095890411,34,0.09315068493150686,163,0.4465753424657534
01M110,Attend school outside district of residence,14,0.19444444444444445,s,s,27,0.375
01M110,Poverty,42,0.21761658031088082,26,0.13471502590673576,105,0.5440414507772021
01M110,Reside in temporary housing,7,0.18421052631578946,8,0.21052631578947367,22,0.5789473684210527
01M110,Students with Disabilities,s,s,11,0.19298245614035087,32,0.5614035087719298
01M140,Attend school outside district of residence,s,s,10,0.09009009009009009,88,0.7927927927927928
01M134,All Students,52,0.20967741935483872,50,0.20161290322580644,138,0.5564516129032258
01M134,Attend school outside district of residence,20,0.3076923076923077,16,0.24615384615384617,29,0.4461538461538462
01M134,English Language Learners,19,0.6129032258064516,s,s,12,0.3870967741935484
01M134,Poverty,51,0.22666666666666666,44,0.19555555555555557,124,0.5511111111111111
01M134,Reside in temporary housing,10,0.19607843137254902,12,0.23529411764705882,27,0.5294117647058824
01M134,Students with Disabilities,9,0.10975609756097561,18,0.21951219512195122,53,0.6463414634146342
01M137,All Students,16,0.1103448275862069,35,0.2413793103448276,90,0.6206896551724138
01M137,Attend school outside district of residence,7,0.2,6,0.17142857142857143,22,0.6285714285714286
01M137,English Language Learners,s,s,s,s,8,0.6153846153846154
02M001,Reside in temporary housing,s,s,10,0.47619047619047616,9,0.42857142857142855
01M137,Poverty,16,0.11428571428571428,34,0.24285714285714285,86,0.6142857142857143
01M137,Reside in temporary housing,s,s,6,0.2222222222222222,20,0.7407407407407407
01M137,Students with Disabilities,s,s,16,0.25806451612903225,39,0.6290322580645161
01M140,All Students,19,0.05234159779614325,46,0.12672176308539945,281,0.7741046831955923
01M140,English Language Learners,6,0.1111111111111111,s,s,43,0.7962962962962963
01M140,Poverty,19,0.05234159779614325,46,0.12672176308539945,281,0.7741046831955923
01M140,Reside in temporary housing,s,s,s,s,48,0.8888888888888888
01M140,Students with Disabilities,s,s,14,0.109375,100,0.78125
01M142,All Students,22,0.06626506024096386,37,0.11144578313253012,259,0.7801204819277109
01M142,Attend school outside district of residence,9,0.09,10,0.1,78,0.78
01M142,English Language Learners,s,s,s,s,27,0.9
01M142,Poverty,21,0.06542056074766354,36,0.11214953271028037,250,0.778816199376947
01M142,Reside in temporary housing,s,s,6,0.07407407407407407,68,0.8395061728395061
01M142,Students with Disabilities,s,s,13,0.11504424778761062,94,0.831858407079646
01M184,All Students,449,0.7161084529505582,24,0.03827751196172249,67,0.10685805422647528
01M184,Attend school outside district of residence,146,0.8021978021978022,s,s,11,0.06043956043956044
01M184,English Language Learners,110,0.9565217391304348,s,s,s,s
01M184,Poverty,363,0.8212669683257918,17,0.038461538461538464,47,0.10633484162895927
01M184,Reside in temporary housing,18,0.8181818181818182,s,s,s,s
01M184,Students with Disabilities,67,0.6442307692307693,7,0.0673076923076923,14,0.1346153846153846
01M188,All Students,s,s,138,0.30131004366812225,295,0.6441048034934498
01M188,Attend school outside district of residence,s,s,40,0.29850746268656714,86,0.6417910447761194
01M188,English Language Learners,s,s,s,s,70,0.9090909090909091
01M188,Poverty,s,s,138,0.30131004366812225,295,0.6441048034934498
19K404,English Language Learners,s,s,s,s,s,s
01M188,Reside in temporary housing,s,s,67,0.3489583333333333,117,0.609375
01M188,Students with Disabilities,s,s,46,0.3333333333333333,85,0.6159420289855072
01M292,All Students,s,s,11,0.44,12,0.48
01M292,Attend school outside district of residence,s,s,7,0.7,s,s
01M292,English Language Learners,s,s,s,s,s,s
01M292,Poverty,s,s,10,0.45454545454545453,11,0.5
01M292,Reside in temporary housing,s,s,s,s,s,s
01M292,Students with Disabilities,s,s,s,s,7,0.5384615384615384
01M301,All Students,12,0.07692307692307693,45,0.28846153846153844,86,0.5512820512820513
01M301,Attend school outside district of residence,s,s,16,0.37209302325581395,23,0.5348837209302325
01M301,English Language Learners,s,s,s,s,7,0.7
01M301,Poverty,12,0.07692307692307693,45,0.28846153846153844,86,0.5512820512820513
01M301,Reside in temporary housing,s,s,8,0.4,10,0.5
02M051,Attend school outside district of residence,s,s,s,s,s,s
01M301,Students with Disabilities,s,s,19,0.31666666666666665,34,0.5666666666666667
01M315,All Students,25,0.09505703422053231,25,0.09505703422053231,58,0.22053231939163498
01M315,Attend school outside district of residence,s,s,10,0.136986301369863,15,0.2054794520547945
01M315,English Language Learners,s,s,s,s,s,s
01M315,Poverty,s,s,13,0.22033898305084745,21,0.3559322033898305
01M315,Reside in temporary housing,s,s,s,s,s,s
01M315,Students with Disabilities,s,s,10,0.17857142857142858,18,0.32142857142857145
01M332,All Students,6,0.05454545454545454,30,0.2727272727272727,69,0.6272727272727273
01M332,Attend school outside district of residence,s,s,13,0.3170731707317073,22,0.5365853658536586
01M332,English Language Learners,s,s,s,s,11,0.6875
01M332,Poverty,6,0.05454545454545454,30,0.2727272727272727,69,0.6272727272727273
01M332,Reside in temporary housing,s,s,s,s,9,0.6923076923076923
01M332,Students with Disabilities,s,s,12,0.2857142857142857,28,0.6666666666666666
01M345,All Students,14,0.13333333333333333,32,0.3047619047619048,55,0.5238095238095238
01M345,Attend school outside district of residence,s,s,12,0.375,15,0.46875
01M345,English Language Learners,s,s,s,s,s,s
01M345,Poverty,14,0.13333333333333333,32,0.3047619047619048,55,0.5238095238095238
01M345,Reside in temporary housing,s,s,s,s,11,0.5789473684210527
01M345,Students with Disabilities,s,s,15,0.35714285714285715,23,0.5476190476190477
01M361,All Students,s,s,27,0.11538461538461539,91,0.3888888888888889
01M361,Attend school outside district of residence,12,0.13793103448275862,s,s,16,0.1839080459770115
01M361,English Language Learners,s,s,s,s,13,0.7222222222222222
01M361,Poverty,s,s,18,0.16363636363636364,61,0.5545454545454546
01M361,Reside in temporary housing,s,s,s,s,11,0.6470588235294118
01M361,Students with Disabilities,s,s,12,0.21052631578947367,23,0.40350877192982454
01M363,All Students,17,0.05723905723905724,39,0.13131313131313133,102,0.3434343434343434
01M363,Attend school outside district of residence,7,0.06796116504854369,16,0.1553398058252427,33,0.32038834951456313
01M363,English Language Learners,s,s,s,s,6,0.5454545454545454
01M363,Poverty,s,s,28,0.2413793103448276,62,0.5344827586206896
01M363,Reside in temporary housing,s,s,s,s,13,0.6842105263157895
01M363,Students with Disabilities,s,s,17,0.25,26,0.38235294117647056
01M364,All Students,23,0.0756578947368421,42,0.13815789473684212,110,0.3618421052631579
01M364,Attend school outside district of residence,11,0.11458333333333333,16,0.16666666666666666,24,0.25
01M364,English Language Learners,s,s,s,s,9,0.47368421052631576
01M364,Poverty,12,0.08391608391608392,29,0.20279720279720279,69,0.4825174825174825
01M364,Reside in temporary housing,s,s,s,s,22,0.7333333333333333
01M364,Students with Disabilities,s,s,19,0.24358974358974358,29,0.3717948717948718
01M378,All Students,40,0.15151515151515152,59,0.22348484848484848,154,0.5833333333333334
01M378,Attend school outside district of residence,11,0.12087912087912088,22,0.24175824175824176,55,0.6043956043956044
01M378,Poverty,40,0.15151515151515152,59,0.22348484848484848,154,0.5833333333333334
01M378,Reside in temporary housing,8,0.2222222222222222,9,0.25,18,0.5
01M378,Students with Disabilities,s,s,29,0.3333333333333333,53,0.6091954022988506
01M450,All Students,26,0.08934707903780069,58,0.19931271477663232,147,0.5051546391752577
01M450,Attend school outside district of residence,s,s,27,0.28125,47,0.4895833333333333
01M450,Poverty,17,0.09659090909090909,44,0.25,101,0.5738636363636364
01M450,Reside in temporary housing,s,s,s,s,13,0.65
01M450,Students with Disabilities,s,s,22,0.24444444444444444,48,0.5333333333333333
01M539,All Students,345,0.31420765027322406,76,0.0692167577413479,80,0.07285974499089254
01M539,Attend school outside district of residence,325,0.319567354965585,73,0.07177974434611603,72,0.07079646017699115
01M539,English Language Learners,s,s,s,s,s,s
01M539,Poverty,67,0.4589041095890411,20,0.136986301369863,20,0.136986301369863
01M539,Reside in temporary housing,s,s,s,s,s,s
01M539,Students with Disabilities,s,s,s,s,6,0.15789473684210525
01M839,All Students,87,0.23450134770889489,59,0.15902964959568733,138,0.3719676549865229
01M839,Attend school outside district of residence,25,0.19230769230769232,s,s,51,0.3923076923076923
01M839,English Language Learners,s,s,s,s,s,s
01M839,Poverty,87,0.23450134770889489,59,0.15902964959568733,138,0.3719676549865229
01M839,Reside in temporary housing,s,s,s,s,8,0.5714285714285714
01M839,Students with Disabilities,s,s,24,0.27586206896551724,38,0.4367816091954023
02M001,All Students,246,0.6612903225806451,45,0.12096774193548387,77,0.20698924731182797
02M001,Attend school outside district of residence,41,0.5616438356164384,17,0.2328767123287671,14,0.1917808219178082
02M001,English Language Learners,93,0.93,s,s,7,0.07
02M001,Poverty,246,0.6612903225806451,45,0.12096774193548387,77,0.20698924731182797
02M001,Students with Disabilities,44,0.4943820224719101,15,0.16853932584269662,29,0.3258426966292135
02M002,All Students,558,0.8571428571428571,26,0.039938556067588324,58,0.0890937019969278
02M002,Attend school outside district of residence,50,0.704225352112676,s,s,17,0.23943661971830985
02M002,English Language Learners,238,0.9875518672199171,s,s,s,s
02M002,Poverty,537,0.8550955414012739,26,0.041401273885350316,56,0.08917197452229299
02M002,Reside in temporary housing,176,0.9312169312169312,6,0.031746031746031744,6,0.031746031746031744
02M002,Students with Disabilities,80,0.6451612903225806,13,0.10483870967741936,29,0.23387096774193547
02M003,All Students,54,0.07336956521739131,42,0.057065217391304345,90,0.12228260869565218
02M003,Attend school outside district of residence,s,s,14,0.20588235294117646,17,0.25
02M003,English Language Learners,7,0.20588235294117646,s,s,14,0.4117647058823529
02M003,Poverty,9,0.0703125,18,0.140625,39,0.3046875
02M003,Reside in temporary housing,s,s,s,s,s,s
02M003,Students with Disabilities,9,0.06569343065693431,s,s,40,0.291970802919708
02M006,All Students,91,0.13,15,0.02142857142857143,50,0.07142857142857142
02M006,Attend school outside district of residence,s,s,6,0.2727272727272727,s,s
02M006,English Language Learners,s,s,s,s,s,s
02M006,Poverty,s,s,7,0.16279069767441862,11,0.2558139534883721
02M006,Reside in temporary housing,s,s,s,s,s,s
02M006,Students with Disabilities,6,0.05,s,s,14,0.11666666666666667
02M011,All Students,132,0.1461794019933555,63,0.06976744186046512,227,0.2513842746400886
02M011,Attend school outside district of residence,s,s,s,s,10,0.4
02M011,English Language Learners,8,0.25,s,s,15,0.46875
02M011,Poverty,29,0.11646586345381527,47,0.18875502008032127,129,0.5180722891566265
02M011,Reside in temporary housing,s,s,s,s,14,0.6086956521739131
02M011,Students with Disabilities,s,s,23,0.19008264462809918,44,0.36363636363636365
02M033,All Students,156,0.2561576354679803,72,0.11822660098522167,179,0.2939244663382594
02M033,Attend school outside district of residence,13,0.28888888888888886,12,0.26666666666666666,17,0.37777777777777777
02M033,English Language Learners,10,0.38461538461538464,s,s,10,0.38461538461538464
02M033,Poverty,54,0.1935483870967742,60,0.21505376344086022,136,0.4874551971326165
02M033,Reside in temporary housing,s,s,7,0.17073170731707318,24,0.5853658536585366
02M033,Students with Disabilities,6,0.08450704225352113,15,0.2112676056338028,42,0.5915492957746479
02M040,All Students,52,0.08739495798319327,16,0.02689075630252101,78,0.13109243697478992
02M040,Attend school outside district of residence,s,s,s,s,s,s
02M040,English Language Learners,s,s,s,s,s,s
02M040,Poverty,s,s,s,s,13,0.2765957446808511
02M040,Reside in temporary housing,s,s,s,s,s,s
02M040,Students with Disabilities,s,s,s,s,15,0.1485148514851485
02M051,English Language Learners,14,0.4117647058823529,s,s,12,0.35294117647058826
02M041,All Students,59,0.08613138686131387,13,0.01897810218978102,68,0.09927007299270073
02M041,Attend school outside district of residence,s,s,s,s,s,s
02M041,English Language Learners,s,s,s,s,s,s
02M041,Poverty,s,s,s,s,11,0.39285714285714285
02M041,Students with Disabilities,9,0.08256880733944955,s,s,18,0.1651376146788991
02M042,All Students,647,0.9363241678726484,s,s,24,0.03473227206946455
02M059,Reside in temporary housing,s,s,s,s,s,s
02M042,Attend school outside district of residence,112,0.9491525423728814,s,s,s,s
02M042,English Language Learners,200,0.9900990099009901,s,s,s,s
02M042,Poverty,647,0.9363241678726484,s,s,24,0.03473227206946455
02M042,Reside in temporary housing,50,0.9615384615384616,s,s,s,s
02M042,Students with Disabilities,100,0.9259259259259259,s,s,6,0.05555555555555555
02M051,All Students,70,0.21739130434782608,39,0.12111801242236025,146,0.453416149068323
02M051,Poverty,70,0.21739130434782608,39,0.12111801242236025,146,0.453416149068323
02M051,Reside in temporary housing,s,s,7,0.1346153846153846,36,0.6923076923076923
02M051,Students with Disabilities,s,s,12,0.15384615384615385,45,0.5769230769230769
02M059,All Students,88,0.15357766143106458,12,0.020942408376963352,74,0.12914485165794065
02M059,Attend school outside district of residence,s,s,s,s,s,s
02M059,English Language Learners,13,0.5652173913043478,s,s,s,s
02M059,Poverty,9,0.13846153846153847,6,0.09230769230769231,16,0.24615384615384617
11X272,English Language Learners,s,s,s,s,21,0.84
02M059,Students with Disabilities,13,0.13541666666666666,s,s,17,0.17708333333333334
02M077,All Students,93,0.26956521739130435,s,s,s,s
02M077,Attend school outside district of residence,s,s,s,s,s,s
02M077,Poverty,s,s,s,s,s,s
02M077,Students with Disabilities,s,s,s,s,s,s
02M089,All Students,61,0.15681233933161953,7,0.017994858611825194,57,0.14652956298200515
02M089,Attend school outside district of residence,s,s,s,s,s,s
02M089,English Language Learners,7,0.3684210526315789,s,s,7,0.3684210526315789
02M089,Poverty,s,s,s,s,s,s
02M089,Students with Disabilities,s,s,s,s,14,0.23728813559322035
02M104,All Students,441,0.39622641509433965,90,0.08086253369272237,235,0.21114106019766396
02M104,Attend school outside district of residence,119,0.672316384180791,13,0.07344632768361582,31,0.1751412429378531
02M104,English Language Learners,26,0.5,s,s,21,0.40384615384615385
02M104,Poverty,441,0.39622641509433965,90,0.08086253369272237,235,0.21114106019766396
02M151,English Language Learners,13,0.3611111111111111,s,s,10,0.2777777777777778
02M104,Reside in temporary housing,22,0.4489795918367347,10,0.20408163265306123,16,0.32653061224489793
02M104,Students with Disabilities,44,0.22916666666666666,30,0.15625,72,0.375
02M111,All Students,63,0.17696629213483145,59,0.16573033707865167,179,0.5028089887640449
26Q266,English Language Learners,18,0.8571428571428571,s,s,s,s
02M111,Attend school outside district of residence,16,0.22857142857142856,23,0.32857142857142857,23,0.32857142857142857
02M111,English Language Learners,21,0.4375,s,s,21,0.4375
02M111,Poverty,63,0.17696629213483145,59,0.16573033707865167,179,0.5028089887640449
02M111,Reside in temporary housing,s,s,10,0.2631578947368421,21,0.5526315789473685
02M111,Students with Disabilities,s,s,16,0.14814814814814814,69,0.6388888888888888
02M114,All Students,66,0.14965986394557823,13,0.02947845804988662,40,0.09070294784580499
02M114,Attend school outside district of residence,s,s,s,s,7,0.25925925925925924
02M114,Poverty,66,0.14965986394557823,13,0.02947845804988662,40,0.09070294784580499
02M114,Reside in temporary housing,s,s,s,s,s,s
02M267,Poverty,s,s,s,s,s,s
