DBN,School Name
01M015,P.S. 015 Roberto Clemente
01M019,P.S. 019 Asher Levy
01M020,P.S. 020 Anna Silver
01M378,School for Global Leaders
01M034,P.S. 034 Franklin D. Roosevelt
01M063,The STAR Academy - P.S.63
01M110,P.S. 110 Florence Nightingale
01M064,P.S. 064 Robert Simon
01M140,P.S. 140 Nathan Straus
01M134,P.S. 134 Henrietta Szold
01M137,P.S. 137 John L. Bernstein
02M001,P.S. 001 Alfred E. Smith
01M142,P.S. 142 Amalia Castro
01M184,P.S. 184m Shuang Wen
01M188,P.S. 188 The Island School
19K404,Academy for Young Writers
01M292,Henry Street School for International Studies
01M301,"Technology, Arts, and Sciences Studio"
02M051,P.S. 051 Elias Howe
01M315,The East Village Community School
01M332,University Neighborhood Middle School
01M345,"Collaborative Academy of Science, Technology, & La"
01M361,The Children's Workshop School
01M363,Neighborhood School
01M364,Earth School
01M450,East Side Community School
01M539,"New Explorations into Science, Technology and Math"
01M839,Tompkins Square Middle School
02M002,P.S. 002 Meyer London
02M003,P.S. 003 Charrette School
02M006,P.S. 006 Lillie D. Blake
02M011,P.S. 011 William T. Harris
02M033,P.S. 033 Chelsea Prep
02M040,P.S. 040 Augustus Saint-Gaudens
02M041,P.S. 041 Greenwich Village
02M042,P.S. 042 Benjamin Altman
02M059,P.S. 059 Beekman Hill International
11X272,Globe School for Environmental Research
02M077,P.S. 77 Lower Lab School
02M089,P.S. 89
02M104,J.H.S. 104 Simon Baruch
02M151,Yorkville Community School
02M111,P.S. 111 Adolph S. Ochs
26Q266,P.S./I.S. 266
02M114,East Side Middle School
02M267,"East Side Elementary School, PS 267"
02M116,P.S. 116 Mary Lindley Murray
02M124,P.S. 124 Yung Wing
06M152,P.S. 152 Dyckman Valley
02M126,P.S. 126 Jacob August Riis
02M130,P.S. 130 Hernando De Soto
02M289,I.S. 289
02M131,M.S. 131
02M225,Ella Baker School
02M150,P.S. 150
02M158,P.S. 158 Bayard Taylor
02M167,J.H.S. 167 Robert F. Wagner
02M177,Yorkville East Middle School
02M183,P.S. 183 Robert L. Stevenson
17K484,Ronald Edmonds Learning Center II
02M198,P.S. 198 Isador E. Ida Straus
02M212,P.S. 212 Midtown West
02M217,P.S./I.S. 217 Roosevelt Island
02M234,P.S. 234 Independence School
18K211,I.S. 211 John Wilson
02M255,M.S. 255 Salk School of Science
02M260,M.S. 260 Clinton School Writers & Artists
02M276,Battery Park City School
02M281,The River School
02M312,New York City Lab Middle School for Collaborative
02M290,P.S. 290 Manhattan New School
02M340,Sixth Avenue Elementary School
02M343,The Peck Slip School
02M347,The 47 American Sign Language & English Lower Scho
02M407,Institute for Collaborative Education
02M397,Spruce Street School
02M408,Professional Performing Arts High School
02M413,School of the Future High School
02M422,Quest to Learn
02M442,"Ballet Tech, NYC Public School for Dance"
03M145,"P.S. 145, The Bloomingdale School"
02M527,P.S. 527 - East Side School for Social Action
02M655,Life Sciences Secondary School
02M896,Lower Manhattan Community Middle School
02M933,City Knoll Middle School
