DBN,Category,Total Enrollment
01M015,All Students,162.0
01M015,Attend school outside district of residence,37.0
01M015,English Language Learners,16.0
01M015,Poverty,162.0
01M015,Reside in temporary housing,65.0
01M015,Students with Disabilities,57.0
01M019,All Students,249.0
01M019,Attend school outside district of residence,124.0
01M019,English Language Learners,13.0
01M019,Poverty,198.0
01M019,Reside in temporary housing,37.0
01M019,Students with Disabilities,79.0
01M020,All Students,535.0
01M020,Attend school outside district of residence,177.0
01M378,English Language Learners,20.0
01M020,English Language Learners,88.0
01M020,Poverty,535.0
01M020,Reside in temporary housing,62.0
01M020,Students with Disabilities,118.0
01M034,All Students,376.0
01M034,Attend school outside district of residence,76.0
01M034,English Language Learners,29.0
01M034,Poverty,366.0
01M034,Reside in temporary housing,79.0
01M034,Students with Disabilities,113.0
01M063,All Students,188.0
01M110,English Language Learners,
01M063,Attend school outside district of residence,70.0
01M063,English Language Learners,6.0
01M063,Poverty,159.0
01M063,Reside in temporary housing,41.0
01M063,Students with Disabilities,62.0
01M064,All Students,238.0
01M064,Attend school outside district of residence,66.0
01M064,English Language Learners,15.0
01M064,Poverty,220.0
01M064,Reside in temporary housing,54.0
01M064,Students with Disabilities,80.0
01M110,All Students,365.0
01M110,Attend school outside district of residence,72.0
01M110,Poverty,193.0
01M110,Reside in temporary housing,38.0
01M110,Students with Disabilities,57.0
01M140,Attend school outside district of residence,111.0
01M134,All Students,248.0
01M134,Attend school outside district of residence,65.0
01M134,English Language Learners,31.0
01M134,Poverty,225.0
01M134,Reside in temporary housing,51.0
01M134,Students with Disabilities,82.0
01M137,All Students,145.0
01M137,Attend school outside district of residence,35.0
01M137,English Language Learners,13.0
02M001,Reside in temporary housing,21.0
01M137,Poverty,140.0
01M137,Reside in temporary housing,27.0
01M137,Students with Disabilities,62.0
01M140,All Students,363.0
01M140,English Language Learners,54.0
01M140,Poverty,363.0
01M140,Reside in temporary housing,54.0
01M140,Students with Disabilities,128.0
01M142,All Students,332.0
01M142,Attend school outside district of residence,100.0
01M142,English Language Learners,30.0
01M142,Poverty,321.0
01M142,Reside in temporary housing,81.0
01M142,Students with Disabilities,113.0
01M184,All Students,627.0
01M184,Attend school outside district of residence,182.0
01M184,English Language Learners,115.0
01M184,Poverty,442.0
01M184,Reside in temporary housing,22.0
01M184,Students with Disabilities,104.0
01M188,All Students,458.0
01M188,Attend school outside district of residence,134.0
01M188,English Language Learners,77.0
01M188,Poverty,458.0
19K404,English Language Learners,
01M188,Reside in temporary housing,192.0
01M188,Students with Disabilities,138.0
01M292,All Students,25.0
01M292,Attend school outside district of residence,10.0
01M292,English Language Learners,
01M292,Poverty,22.0
01M292,Reside in temporary housing,7.0
01M292,Students with Disabilities,13.0
01M301,All Students,156.0
01M301,Attend school outside district of residence,43.0
01M301,English Language Learners,10.0
01M301,Poverty,156.0
01M301,Reside in temporary housing,20.0
02M051,Attend school outside district of residence,10.0
01M301,Students with Disabilities,60.0
01M315,All Students,263.0
01M315,Attend school outside district of residence,73.0
01M315,English Language Learners,
01M315,Poverty,59.0
01M315,Reside in temporary housing,9.0
01M315,Students with Disabilities,56.0
01M332,All Students,110.0
01M332,Attend school outside district of residence,41.0
01M332,English Language Learners,16.0
01M332,Poverty,110.0
01M332,Reside in temporary housing,13.0
01M332,Students with Disabilities,42.0
01M345,All Students,105.0
01M345,Attend school outside district of residence,32.0
01M345,English Language Learners,8.0
01M345,Poverty,105.0
01M345,Reside in temporary housing,19.0
01M345,Students with Disabilities,42.0
01M361,All Students,234.0
01M361,Attend school outside district of residence,87.0
01M361,English Language Learners,18.0
01M361,Poverty,110.0
01M361,Reside in temporary housing,17.0
01M361,Students with Disabilities,57.0
01M363,All Students,297.0
01M363,Attend school outside district of residence,103.0
01M363,English Language Learners,11.0
01M363,Poverty,116.0
01M363,Reside in temporary housing,19.0
01M363,Students with Disabilities,68.0
01M364,All Students,304.0
01M364,Attend school outside district of residence,96.0
01M364,English Language Learners,19.0
01M364,Poverty,143.0
01M364,Reside in temporary housing,30.0
01M364,Students with Disabilities,78.0
01M378,All Students,264.0
01M378,Attend school outside district of residence,91.0
01M378,Poverty,264.0
01M378,Reside in temporary housing,36.0
01M378,Students with Disabilities,87.0
01M450,All Students,291.0
01M450,Attend school outside district of residence,96.0
01M450,Poverty,176.0
01M450,Reside in temporary housing,20.0
01M450,Students with Disabilities,90.0
01M539,All Students,1098.0
01M539,Attend school outside district of residence,1017.0
01M539,English Language Learners,6.0
01M539,Poverty,146.0
01M539,Reside in temporary housing,
01M539,Students with Disabilities,38.0
01M839,All Students,371.0
01M839,Attend school outside district of residence,130.0
01M839,English Language Learners,11.0
01M839,Poverty,371.0
01M839,Reside in temporary housing,14.0
01M839,Students with Disabilities,87.0
02M001,All Students,372.0
02M001,Attend school outside district of residence,73.0
02M001,English Language Learners,100.0
02M001,Poverty,372.0
02M001,Students with Disabilities,89.0
02M002,All Students,651.0
02M002,Attend school outside district of residence,71.0
02M002,English Language Learners,241.0
02M002,Poverty,628.0
02M002,Reside in temporary housing,189.0
02M002,Students with Disabilities,124.0
02M003,All Students,736.0
02M003,Attend school outside district of residence,68.0
02M003,English Language Learners,34.0
02M003,Poverty,128.0
02M003,Reside in temporary housing,8.0
02M003,Students with Disabilities,137.0
02M006,All Students,700.0
02M006,Attend school outside district of residence,22.0
02M006,English Language Learners,12.0
02M006,Poverty,43.0
02M006,Reside in temporary housing,
02M006,Students with Disabilities,120.0
02M011,All Students,903.0
02M011,Attend school outside district of residence,25.0
02M011,English Language Learners,32.0
02M011,Poverty,249.0
02M011,Reside in temporary housing,23.0
02M011,Students with Disabilities,121.0
02M033,All Students,609.0
02M033,Attend school outside district of residence,45.0
02M033,English Language Learners,26.0
02M033,Poverty,279.0
02M033,Reside in temporary housing,41.0
02M033,Students with Disabilities,71.0
02M040,All Students,595.0
02M040,Attend school outside district of residence,6.0
02M040,English Language Learners,16.0
02M040,Poverty,47.0
02M040,Reside in temporary housing,
02M040,Students with Disabilities,101.0
02M051,English Language Learners,34.0
02M041,All Students,685.0
02M041,Attend school outside district of residence,14.0
02M041,English Language Learners,14.0
02M041,Poverty,28.0
02M041,Students with Disabilities,109.0
02M042,All Students,691.0
02M059,Reside in temporary housing,6.0
02M042,Attend school outside district of residence,118.0
02M042,English Language Learners,202.0
02M042,Poverty,691.0
02M042,Reside in temporary housing,52.0
02M042,Students with Disabilities,108.0
02M051,All Students,322.0
02M051,Poverty,322.0
02M051,Reside in temporary housing,52.0
02M051,Students with Disabilities,78.0
02M059,All Students,573.0
02M059,Attend school outside district of residence,15.0
02M059,English Language Learners,23.0
02M059,Poverty,65.0
11X272,English Language Learners,25.0
02M059,Students with Disabilities,96.0
02M077,All Students,345.0
02M077,Attend school outside district of residence,
02M077,Poverty,15.0
02M077,Students with Disabilities,37.0
02M089,All Students,389.0
02M089,Attend school outside district of residence,10.0
02M089,English Language Learners,19.0
02M089,Poverty,15.0
02M089,Students with Disabilities,59.0
02M104,All Students,1113.0
02M104,Attend school outside district of residence,177.0
02M104,English Language Learners,52.0
02M104,Poverty,1113.0
02M151,English Language Learners,36.0
02M104,Reside in temporary housing,49.0
02M104,Students with Disabilities,192.0
02M111,All Students,356.0
26Q266,English Language Learners,21.0
02M111,Attend school outside district of residence,70.0
02M111,English Language Learners,48.0
02M111,Poverty,356.0
02M111,Reside in temporary housing,38.0
02M111,Students with Disabilities,108.0
02M114,All Students,441.0
02M114,Attend school outside district of residence,27.0
02M114,Poverty,441.0
02M114,Reside in temporary housing,
02M267,Poverty,24.0
02M114,Students with Disabilities,62.0
02M116,All Students,591.0
02M116,Attend school outside district of residence,12.0
02M116,English Language Learners,69.0
02M116,Poverty,208.0
02M116,Reside in temporary housing,48.0
02M116,Students with Disabilities,93.0
02M124,All Students,739.0
02M124,Attend school outside district of residence,167.0
02M124,English Language Learners,238.0
02M124,Poverty,739.0
02M124,Reside in temporary housing,23.0
02M124,Students with Disabilities,68.0
06M152,English Language Learners,186.0
02M126,All Students,728.0
02M126,Attend school outside district of residence,123.0
02M126,English Language Learners,131.0
02M126,Poverty,583.0
02M126,Reside in temporary housing,163.0
02M126,Students with Disabilities,123.0
02M130,All Students,952.0
02M130,Attend school outside district of residence,205.0
02M130,English Language Learners,126.0
02M130,Poverty,952.0
02M130,Reside in temporary housing,15.0
02M130,Students with Disabilities,119.0
02M289,Attend school outside district of residence,51.0
02M131,All Students,420.0
02M225,Reside in temporary housing,9.0
02M131,Attend school outside district of residence,119.0
02M131,English Language Learners,145.0
02M131,Poverty,420.0
02M131,Reside in temporary housing,126.0
02M131,Students with Disabilities,115.0
02M150,All Students,166.0
02M150,Attend school outside district of residence,16.0
02M150,English Language Learners,
02M150,Poverty,23.0
02M150,Students with Disabilities,25.0
02M151,All Students,548.0
02M151,Attend school outside district of residence,30.0
02M289,English Language Learners,
02M151,Poverty,221.0
02M151,Reside in temporary housing,43.0
02M151,Students with Disabilities,107.0
02M158,All Students,691.0
02M158,Attend school outside district of residence,31.0
02M158,English Language Learners,39.0
02M158,Poverty,85.0
02M158,Reside in temporary housing,10.0
02M158,Students with Disabilities,121.0
02M167,All Students,1343.0
02M167,Attend school outside district of residence,246.0
02M167,English Language Learners,52.0
02M167,Poverty,1343.0
02M167,Reside in temporary housing,42.0
02M167,Students with Disabilities,242.0
02M177,All Students,142.0
02M177,Attend school outside district of residence,13.0
02M177,English Language Learners,
02M177,Poverty,142.0
02M177,Reside in temporary housing,
02M177,Students with Disabilities,40.0
02M183,All Students,555.0
02M183,Attend school outside district of residence,15.0
02M183,English Language Learners,33.0
02M183,Poverty,45.0
02M183,Reside in temporary housing,
02M183,Students with Disabilities,101.0
17K484,English Language Learners,6.0
02M198,All Students,450.0
02M198,Attend school outside district of residence,75.0
02M198,English Language Learners,34.0
02M198,Poverty,204.0
02M198,Reside in temporary housing,10.0
02M198,Students with Disabilities,81.0
02M212,All Students,342.0
02M212,Attend school outside district of residence,51.0
02M212,English Language Learners,9.0
02M225,Students with Disabilities,60.0
02M212,Poverty,75.0
02M212,Reside in temporary housing,
02M212,Students with Disabilities,46.0
02M217,All Students,551.0
02M217,Attend school outside district of residence,126.0
02M217,English Language Learners,43.0
02M217,Poverty,200.0
02M217,Reside in temporary housing,6.0
02M217,Students with Disabilities,68.0
02M225,All Students,281.0
02M225,Attend school outside district of residence,239.0
02M225,English Language Learners,10.0
02M225,Poverty,127.0
02M234,All Students,704.0
02M234,Attend school outside district of residence,8.0
02M234,English Language Learners,9.0
02M234,Poverty,23.0
02M234,Reside in temporary housing,
02M234,Students with Disabilities,121.0
18K211,English Language Learners,24.0
02M255,All Students,374.0
02M255,Attend school outside district of residence,27.0
02M255,Poverty,374.0
02M255,Reside in temporary housing,6.0
02M255,Students with Disabilities,51.0
02M260,All Students,283.0
02M260,Attend school outside district of residence,36.0
02M260,English Language Learners,
02M260,Poverty,283.0
02M260,Reside in temporary housing,
02M260,Students with Disabilities,46.0
02M267,All Students,347.0
02M267,Attend school outside district of residence,
02M267,English Language Learners,16.0
02M267,Students with Disabilities,66.0
02M276,All Students,872.0
02M276,Attend school outside district of residence,30.0
02M276,English Language Learners,19.0
02M276,Poverty,58.0
02M276,Reside in temporary housing,7.0
02M276,Students with Disabilities,136.0
02M281,All Students,118.0
02M281,Attend school outside district of residence,
02M281,English Language Learners,27.0
02M281,Poverty,40.0
02M281,Reside in temporary housing,
02M281,Students with Disabilities,19.0
02M289,All Students,289.0
02M312,Reside in temporary housing,8.0
02M289,Poverty,289.0
02M289,Reside in temporary housing,11.0
02M289,Students with Disabilities,53.0
02M290,All Students,627.0
02M290,Attend school outside district of residence,16.0
02M290,English Language Learners,19.0
02M290,Poverty,63.0
02M290,Students with Disabilities,87.0
02M312,All Students,551.0
02M312,Attend school outside district of residence,90.0
02M312,English Language Learners,
02M312,Poverty,551.0
02M312,Students with Disabilities,84.0
02M340,All Students,85.0
02M340,Attend school outside district of residence,
02M340,Poverty,13.0
02M340,Students with Disabilities,15.0
02M343,All Students,243.0
02M343,Attend school outside district of residence,
02M343,English Language Learners,13.0
02M343,Poverty,29.0
02M343,Reside in temporary housing,
02M343,Students with Disabilities,42.0
02M347,All Students,129.0
02M407,Poverty,30.0
