DBN,Category,#Female,%Female,#Male,%Male
01M015,All Students,79,0.4876543209876543,83,0.5123456790123457
01M015,Attend school outside district of residence,24,0.6486486486486487,13,0.35135135135135137
01M015,English Language Learners,7,0.4375,9,0.5625
01M015,Poverty,79,0.4876543209876543,83,0.5123456790123457
01M015,Reside in temporary housing,26,0.4,39,0.6
01M015,Students with Disabilities,22,0.38596491228070173,35,0.6140350877192983
01M019,All Students,115,0.46184738955823296,134,0.5381526104417671
01M019,Attend school outside district of residence,57,0.4596774193548387,67,0.5403225806451613
01M019,English Language Learners,s,s,s,s
01M019,Poverty,99,0.5,99,0.5
01M019,Reside in temporary housing,18,0.4864864864864865,19,0.5135135135135135
01M019,Students with Disabilities,21,0.26582278481012656,58,0.7341772151898734
01M020,All Students,252,0.47102803738317756,283,0.5289719626168224
01M020,Attend school outside district of residence,87,0.4915254237288136,90,0.5084745762711864
01M378,English Language Learners,10,0.5,10,0.5
01M020,English Language Learners,45,0.5113636363636364,43,0.48863636363636365
01M020,Poverty,252,0.47102803738317756,283,0.5289719626168224
01M020,Reside in temporary housing,31,0.5,31,0.5
01M020,Students with Disabilities,48,0.4067796610169492,70,0.5932203389830508
01M034,All Students,188,0.5,188,0.5
01M034,Attend school outside district of residence,42,0.5526315789473685,34,0.4473684210526316
01M034,English Language Learners,15,0.5172413793103449,14,0.4827586206896552
01M034,Poverty,182,0.4972677595628415,184,0.5027322404371585
01M034,Reside in temporary housing,49,0.620253164556962,30,0.379746835443038
01M034,Students with Disabilities,45,0.39823008849557523,68,0.6017699115044248
01M063,All Students,91,0.48404255319148937,97,0.5159574468085106
01M110,English Language Learners,s,s,s,s
01M063,Attend school outside district of residence,34,0.4857142857142857,36,0.5142857142857142
01M063,English Language Learners,s,s,s,s
01M063,Poverty,81,0.5094339622641509,78,0.49056603773584906
01M063,Reside in temporary housing,19,0.4634146341463415,22,0.5365853658536586
01M063,Students with Disabilities,22,0.3548387096774194,40,0.6451612903225806
01M064,All Students,94,0.3949579831932773,144,0.6050420168067226
01M064,Attend school outside district of residence,24,0.36363636363636365,42,0.6363636363636364
01M064,English Language Learners,s,s,s,s
01M064,Poverty,87,0.39545454545454545,133,0.6045454545454545
01M064,Reside in temporary housing,16,0.2962962962962963,38,0.7037037037037037
01M064,Students with Disabilities,23,0.2875,57,0.7125
01M110,All Students,177,0.4849315068493151,188,0.5150684931506849
01M110,Attend school outside district of residence,38,0.5277777777777778,34,0.4722222222222222
01M110,Poverty,96,0.49740932642487046,97,0.5025906735751295
01M110,Reside in temporary housing,24,0.631578947368421,14,0.3684210526315789
01M110,Students with Disabilities,24,0.42105263157894735,33,0.5789473684210527
01M140,Attend school outside district of residence,57,0.5135135135135135,54,0.4864864864864865
01M134,All Students,116,0.46774193548387094,132,0.532258064516129
01M134,Attend school outside district of residence,29,0.4461538461538462,36,0.5538461538461539
01M134,English Language Learners,12,0.3870967741935484,19,0.6129032258064516
01M134,Poverty,105,0.4666666666666667,120,0.5333333333333333
01M134,Reside in temporary housing,24,0.47058823529411764,27,0.5294117647058824
01M134,Students with Disabilities,25,0.3048780487804878,57,0.6951219512195121
01M137,All Students,56,0.38620689655172413,89,0.6137931034482759
01M137,Attend school outside district of residence,13,0.37142857142857144,22,0.6285714285714286
01M137,English Language Learners,s,s,s,s
02M001,Reside in temporary housing,11,0.5238095238095238,10,0.47619047619047616
01M137,Poverty,53,0.37857142857142856,87,0.6214285714285714
01M137,Reside in temporary housing,11,0.4074074074074074,16,0.5925925925925926
01M137,Students with Disabilities,12,0.1935483870967742,50,0.8064516129032258
01M140,All Students,181,0.4986225895316804,182,0.5013774104683195
01M140,English Language Learners,26,0.48148148148148145,28,0.5185185185185185
01M140,Poverty,181,0.4986225895316804,182,0.5013774104683195
01M140,Reside in temporary housing,26,0.48148148148148145,28,0.5185185185185185
01M140,Students with Disabilities,54,0.421875,74,0.578125
01M142,All Students,149,0.44879518072289154,183,0.5512048192771084
01M142,Attend school outside district of residence,49,0.49,51,0.51
01M142,English Language Learners,11,0.36666666666666664,19,0.6333333333333333
01M142,Poverty,143,0.4454828660436137,178,0.5545171339563862
01M142,Reside in temporary housing,34,0.41975308641975306,47,0.5802469135802469
01M142,Students with Disabilities,35,0.30973451327433627,78,0.6902654867256637
01M184,All Students,309,0.49282296650717705,318,0.507177033492823
01M184,Attend school outside district of residence,84,0.46153846153846156,98,0.5384615384615384
01M184,English Language Learners,46,0.4,69,0.6
01M184,Poverty,212,0.4796380090497738,230,0.5203619909502263
01M184,Reside in temporary housing,9,0.4090909090909091,13,0.5909090909090909
01M184,Students with Disabilities,38,0.36538461538461536,66,0.6346153846153846
01M188,All Students,203,0.4432314410480349,255,0.5567685589519651
01M188,Attend school outside district of residence,50,0.373134328358209,84,0.6268656716417911
01M188,English Language Learners,38,0.4935064935064935,39,0.5064935064935064
01M188,Poverty,203,0.4432314410480349,255,0.5567685589519651
19K404,English Language Learners,s,s,s,s
01M188,Reside in temporary housing,90,0.46875,102,0.53125
01M188,Students with Disabilities,46,0.3333333333333333,92,0.6666666666666666
01M292,All Students,s,s,s,s
01M292,Attend school outside district of residence,s,s,s,s
01M292,English Language Learners,s,s,s,s
01M292,Poverty,s,s,s,s
01M292,Reside in temporary housing,s,s,s,s
01M292,Students with Disabilities,s,s,s,s
01M301,All Students,76,0.48717948717948717,80,0.5128205128205128
01M301,Attend school outside district of residence,23,0.5348837209302325,20,0.46511627906976744
01M301,English Language Learners,s,s,s,s
01M301,Poverty,76,0.48717948717948717,80,0.5128205128205128
01M301,Reside in temporary housing,8,0.4,12,0.6
02M051,Attend school outside district of residence,s,s,s,s
01M301,Students with Disabilities,27,0.45,33,0.55
01M315,All Students,125,0.4752851711026616,138,0.5247148288973384
01M315,Attend school outside district of residence,36,0.4931506849315068,37,0.5068493150684932
01M315,English Language Learners,s,s,s,s
01M315,Poverty,28,0.4745762711864407,31,0.5254237288135594
01M315,Reside in temporary housing,s,s,s,s
01M315,Students with Disabilities,22,0.39285714285714285,34,0.6071428571428571
01M332,All Students,49,0.44545454545454544,61,0.5545454545454546
01M332,Attend school outside district of residence,18,0.43902439024390244,23,0.5609756097560976
01M332,English Language Learners,9,0.5625,7,0.4375
01M332,Poverty,49,0.44545454545454544,61,0.5545454545454546
01M332,Reside in temporary housing,s,s,s,s
